store_code,Site ID,Store Latitude,Store Longitude,polygon_edge,Point Latitude,Point Longitude,Store Status
bengalurudommasandra,Ben_229,12.88563960869565,77.74317002173913,edge_9,12.8718619,77.7450827,Live
bengalurudommasandra,Ben_229,12.88563960869565,77.74317002173913,edge_10,12.8722802,77.7514342,Live
bengalurudommasandra,Ben_229,12.88563960869565,77.74317002173913,edge_11,12.8717782,77.7576998,Live
bengalurudommasandra,Ben_229,12.88563960869565,77.74317002173913,edge_12,12.8742047,77.7582148,Live
bengalurudommasandra,Ben_229,12.88563960869565,77.74317002173913,edge_13,12.8803964,77.7601031,Live
bengalurudommasandra,Ben_229,12.88563960869565,77.74317002173913,edge_14,12.8855254,77.7627428,Live
bengalurudommasandra,Ben_229,12.88563960869565,77.74317002173913,edge_15,12.8888471,77.763193,Live
bengalurudommasandra,Ben_229,12.88563960869565,77.74317002173913,edge_16,12.8906041,77.7594164,Live
bengalurudommasandra,Ben_229,12.88563960869565,77.74317002173913,edge_17,12.8961261,77.7599314,Live
bengalurudommasandra,Ben_229,12.88563960869565,77.74317002173913,edge_18,12.8963771,77.7544383,Live
bengalurudommasandra,Ben_229,12.88563960869565,77.74317002173913,edge_19,12.8982177,77.7466277,Live
bengalurudommasandra,Ben_229,12.88563960869565,77.74317002173913,edge_20,12.8977157,77.7395896,Live
bengalurudommasandra,Ben_229,12.88563960869565,77.74317002173913,edge_21,12.8966666,77.7359221,Live
bengalurudommasandra,Ben_229,12.88563960869565,77.74317002173913,edge_22,12.8919668,77.729437,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,centroid,13.054068825422272,77.67873494248643,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_0,13.05799111622623,77.66574382781984,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_1,13.057552156675897,77.65984296798707,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_2,13.04883551269071,77.65868425369264,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_3,13.049608944369805,77.66179561614992,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_4,13.049588040842726,77.66224622726442,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_5,13.049086355662578,77.66224622726442,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_6,13.048563765850629,77.66304016113283,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_7,13.04912816279981,77.664692401886,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_8,13.049086355662578,77.66621589660646,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_9,13.049608944369805,77.66733169555664,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_10,13.04967165494043,77.66932725906373,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_11,13.051636578094332,77.6716446876526,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_12,13.051113993673857,77.67267465591432,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_13,13.051134897071893,77.67597913742067,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_14,13.052096451470343,77.67705202102663,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_15,13.051302124192516,77.68003463745119,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_16,13.046807855991062,77.6797127723694,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_17,13.046766048461464,77.67595767974855,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_18,13.045010125835063,77.67329692840578,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_19,13.037526411045006,77.67318964004518,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_20,13.037777265487227,77.67554998397829,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_21,13.037777265487227,77.67902612686159,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_22,13.037630933760164,77.68254518508913,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_23,13.037714551900507,77.68651485443115,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_24,13.038738871826297,77.68670797348024,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_25,13.040954733073832,77.68679380416872,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_26,13.043860407836902,77.68687963485719,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_27,13.046577914490783,77.68316745758058,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_28,13.046745144694025,77.68080711364748,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_29,13.047163219707253,77.68029212951662,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_30,13.05134393095499,77.68119335174562,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_31,13.050758635636827,77.68342494964601,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_32,13.049713461978671,77.6862144470215,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_33,13.04950442671674,77.68818855285646,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_34,13.049588040842726,77.68943309783937,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_35,13.050591408148495,77.69213676452638,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_36,13.050967669838133,77.69269466400148,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_37,13.050716828775348,77.70011901855469,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_38,13.052221871333481,77.71230697631836,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_39,13.058660005469749,77.71410942077638,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_40,13.05907806032718,77.69990444183351,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_41,13.060624857147568,77.69466876983644,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_42,13.070783309000612,77.69617080688478,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_43,13.068776734357694,77.69011974334718,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_44,13.072789867328419,77.68295288085939,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_45,13.07345871647836,77.67900466918947,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_46,13.072664457910946,77.67844676971437,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_47,13.072528597636781,77.67690181732179,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_48,13.072350934088446,77.6760756969452,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_49,13.07238228648862,77.6741123199463,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_50,13.073072038284641,77.67322182655334,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_51,13.072246426059067,77.67149448394775,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_52,13.068975302367376,77.67144083976747,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_53,13.065662330990325,77.67104387283327,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_54,13.065327896077857,77.67087221145631,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_55,13.062088034413131,77.66690254211427,Live
bengaluruasha_township,Ben_210,13.054068825422272,77.67873494248643,edge_56,13.05799111622623,77.66574382781984,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,centroid,12.863431056716966,77.54446640072517,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_0,12.84665737996325,77.5339937210083,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_1,12.851385381339353,77.53952980041505,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_2,12.849586240862191,77.54133224487305,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_3,12.849063232491867,77.54425048828126,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_4,12.84745235986932,77.54854202270509,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_5,12.847326836893503,77.55234003067018,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_6,12.85134354100951,77.55242586135866,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_7,12.850611334109,77.55551576614381,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_8,12.849544400232624,77.55841255187988,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_9,12.85379812435082,77.56086009485044,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_10,12.853798316108872,77.56086019091242,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_11,12.857818249115216,77.56257534027101,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_12,12.858819644963498,77.56316535829824,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_13,12.858820893260816,77.5631656348871,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_14,12.86095617357908,77.5634014606476,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_15,12.86189869480255,77.56374418036104,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_16,12.861899102902413,77.56374357595828,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_17,12.862002916025103,77.56280009593503,Live
bengaluruthalaghatpura,Ben_138,12.863431056716966,77.54446640072517,edge_18,12.862002619103654,77.56279918557091,Live
